番号,集数,名字,播放量,投稿时间,作者,收藏数,硬币数,评论数,弹幕数,标签 
15319570,11,【TVB】伽利略少女【粤语中字】,2290,2017-10-12 15:40,Frank_Air,301,13,13,12,"['TV动画', '粤语', 'TVB', '百合', '配音', '合集']"
15317527,1,【720P/经典】宇宙圆盘大战争 1975 【生肉】,633,2017-10-12 14:53,大铁人17号,33,2,2,1,"['剧场版', '永井豪', '动漫', '经典', '宇宙', '机战', '720P']"
15310397,13,【480P】新恋爱白书（2000）【国语】 ,2728,2017-10-12 14:52,小文嗨嗨,236,12,6,5,"['怀旧', '日本动画', '校园', 'TV动画']"
15308769,1,【1080P】天降之物 计时的悲伤女神【英配】【字幕】,4982,2017-10-12 14:49,无所事事哈士奇,295,16,29,9,"['剧场版', '经典', '天降之物', '生肉', '伊卡洛斯', '搞笑']"
15318152,20,【合集/BDrip】伪恋 第一季【Sumisora 澄空/1080P】,51668,2017-10-12 12:56,卷毛,5317,846,326,4472,"['TV动画', '伪恋', '澄空', '伪恋 第一季', 'Sumisora']"
15314841,13,【360P/生肉合集】 变形金刚：伪装的机器人 第2季【2015年美版】,912,2017-10-12 11:51,Jo-y,62,0,8,0,"['动漫', '经典', '机战', '变形金刚', '动漫英配', '合集', '燃向', '热血']"
15306087,1,【720P】翼 年代记-鸟笼国的公主【英配】【字幕】,3161,2017-10-12 11:51,无所事事哈士奇,215,8,19,2,"['日本动画', '720P']"
15303917,2,【1080P/BDRip】三月的狮子SP「うごく！ニャー将棋」 #01 - 02 【生肉】,376,2017-10-12 11:51,约旦手抓饼,24,0,2,2,"['三月的狮子', '花泽香菜', '生肉', '1080P']"
15302061,2,【480P】银河女黑侠 SP【冷番补完字幕组】,235,2017-10-12 11:51,有酒乐逍遥year,16,4,11,0,['480P']
15301324,13,【BD1080P】可塑性记忆【极影】,8588,2017-10-12 10:24,とある科学のAki,1518,191,65,55,"['可塑性记忆', '治愈向', '雨宫天', '1080P', 'BDRIP']"
15299175,2,【DVDrip480P】斗神传 1996【中文字幕】,2687,2017-10-11 18:47,hungry小浩纸,107,5,8,2,['斗神传']
15298900,1,【720P/OVA】黑白来看守所 第26话（TV未放送）【追新番双语字幕】,3482,2017-10-11 18:45,黄濑的头痛病,277,39,17,116,"['OVA', '黑白来看守所']"
15296314,2,【DVDrip528P】恋爱候补生 1998【中文字幕】,1132,2017-10-11 18:12,杀车片,109,5,5,0,"['OVA', '殿胜秀树', '恋爱候补生', '战地少女', 'Starlight Scramble']"
15298223,9,【韩语生肉】最强战士之迷你特工队 第二季 合集版 【合集】,236,2017-10-11 18:08,火力少年王,5,0,2,0,"['动画', 'TV动画', '搞笑', '机战', '原创动画', '神作', '热血']"
15296155,26,【韩语生肉】最强战士之迷你特工队 第一季【合集】,243,2017-10-11 17:50,火力少年王,8,2,1,0,"['开口跪', '韩语']"
15291828,1,【576P/DVDRip】悠哉日常大王OAD1  [C2&A.I.R.nesSub],3346,2017-10-11 17:45,悠悠Akari,131,45,29,111,"['喵帕斯', '悠哉日常大王', '日常', '治愈向', 'OVA•OAD']"
14811703,13,【合集】鸭扁虱和投石机,1975,2017-10-11 16:45,哔哩哔哩番剧,179,31,89,11,['BILIBILI正版']
15294514,1,【360P/生肉】心跳今夜/我们一家都是鬼 总集篇02,603,2017-10-11 16:20,奶活家教Shaw_K,33,4,3,0,"['日本动画', '生肉', '经典']"
15293605,1,【360P/生肉】心跳今夜/我们一家都是鬼 总集篇01,1247,2017-10-11 16:20,奶活家教Shaw_K,53,4,7,1,"['日本动画', '生肉', '治愈向']"
15290718,1,【480P/剧场版】阳光普照-梦中有你 (1988)【中字】,2076,2017-10-11 16:02,小文嗨嗨,311,11,12,11,"['经典', '日本动画', '剧场版', 'あだち充']"
15266680,24,【720P/英配】Special A Class/S·A特优生,967,2017-10-11 16:00,shirlynn,48,2,3,0,"['生肉', 'SA特优生']"
15293564,1,【BD1080P】Harmony（和谐）【天香字幕社&A.I.R.nesSub】,7842,2017-10-11 15:48,cp999999999,811,59,42,39,['1080P']
13759515,26,【合集】舞-HiME,16623,2017-10-11 15:13,哔哩哔哩番剧,258,88,327,591,['BILIBILI正版']
15277592,12,【合集】風雲維新大將軍【僅限港澳台地區】,452,2017-10-11 12:27,哔哩哔哩番剧出差,22,0,11,1,['渡部高志']
15288991,52,【480P】变形金刚：雷霆舰队（微型传说）【国语版】,3514,2017-10-11 12:10,特搜机器人强帕森,409,7,21,27,"['日本动画', 'TV动画', '机战', '经典', '变形金刚', '微型传说', '雷霆舰队', '欧美动画']"
15289073,1,【BD1080P/OVA】天上天下~OVA~萌芽~【枫雪&琵琶行】,5968,2017-10-11 12:08,奶活家教Shaw_K,200,20,18,16,"['怀旧', '日本动画', '经典', '1080P', 'BDRIP', 'OVA•OAD']"
15283870,1,【BD1080P/OVA】天上天下~OVA~龙拳~【枫雪&琵琶行】,6475,2017-10-11 10:39,奶活家教Shaw_K,247,11,18,9,"['日本动画', '经典', '怀旧', '治愈向', 'BDRIP', 'OVA•OAD', '1080P']"
15283796,12,【720P/BDRip】代号D机关 Joker Game【动音漫影】,10264,2017-10-11 10:38,萨潞法迩,1266,61,46,35,"['二战', '川井宪次', '悬疑', '推理', '樱井孝宏', '关智一', '梶裕贵', '谍战', '下野纮']"
15280638,1,[补档720P]哆啦A梦新番056（2006.07.14）大雄漂流记&二次元口袋照相机,2966,2017-10-11 10:32,酸小管,58,13,8,69,['哆啦A梦']
15279595,3,【720P】翼.年代记 东京默示录【英配】【字幕】,1686,2017-10-11 10:31,无所事事哈士奇,108,10,12,6,"['经典', '日本动画', 'OVA•OAD', '720P']"
15279051,1,【BD1080P/剧场版】追逐繁星的孩子【FREEWIND】,35350,2017-10-11 10:31,奶活家教Shaw_K,10138,1034,153,733,"['新海诚', '剧场版', '日本动画', '治愈', '1080P', 'BDRIP']"
15272022,2,【720P/BDRip】代号D机关 SP 黑猫暗夜的冒险【动音漫影】,2906,2017-10-11 10:25,萨潞法迩,514,21,19,11,"['中井和哉', '福山润', '木村良平', '悬疑', '推理', '梶裕贵', '樱井孝宏', '谍战', '二战', '下野纮']"
15274691,51,【480p】战魂王/战斗之魂 少年突破马神 【全50集】,1352,2017-10-11 10:25,白上虛_小野藍騎士D,80,9,10,31,"['高垣彩阳', '战魂王', '战斗之魂', '田村睦心', '三宅华也', 'BS', 'battlespirits']"
15284789,1,【BD1080P】尸者的帝国 【天香字幕社&A.I.R.nesSub】,6272,2017-10-11 07:05,cp999999999,849,40,29,71,['1080P']
15278179,1,【DVDrip480P】封闭的神秘大地 LAND LOCK 1996【中文字幕】,987,2017-10-10 23:09,hungry小浩纸,73,6,2,1,"['士郎正宗', '小说改', '緒方恵美', '天沢彰', '封闭的神秘大地']"
15245993,21,【480P/DVDRip】很久很久以前  全20集 【无字幕国语】,35822,2017-10-10 18:20,雪姨盛世文化传媒,1997,86,223,219,"['国语配音', '怀旧动画', '朝鲜民间故事']"
15267532,1,【1080P/剧场版】霸旋陀螺 钢铁战魂：灼热的侵略者(2010),2911,2017-10-10 15:26,幻影动漫社,171,11,10,13,"['怀旧', '动漫', '科幻', '童年', '奇幻', '机战', '经典', '热血', '1080P']"
14965150,1,【补档/720p】哆啦A梦新番88-那个人房间（129.3字幕）,5052,2017-10-10 14:00,哆啦有个梦,118,33,32,103,"['哆啦A梦', '那个人的房间']"
15263383,1,【BD1080P】百变之星 OVA 03【FREEWIND】,1125,2017-10-10 12:33,奶活家教Shaw_K,84,8,5,1,"['日本动画', '经典', '1080P', 'BDRIP', 'OVA•OAD']"
15260287,1,【1080P/BDrip】鲁邦三世1995年剧场版 去死吧！诺斯特拉达姆斯【中文字幕】,11224,2017-10-10 11:51,魯邦叁世,997,273,71,469,"['鲁邦三世', '安达佑实', '峰不二子', '1080P', '栗田贯一', '次元大介']"
15254570,2,【DVDrip480P】特务战队Shinesman 1996【中文字幕】,1136,2017-10-10 11:51,hungry小浩纸,126,5,13,12,"['关俊彦', '漫改', '松本保典', 'Production I.G', '特务战队', '橘皆无', '贞光绅也', '石井明治']"
15253772,1,【1080P/BDrip】鲁邦三世1995年剧场版  去死吧！诺斯特拉达姆斯【德语中字】,2942,2017-10-10 11:42,魯邦叁世,257,43,23,21,"['安达佑实', '鲁邦三世', '石川五右卫门', '栗田贯一', '次元大介', '峰不二子']"
15252877,6,【英配】薄樱鬼 雪华录【生肉】,1226,2017-10-10 11:28,无所事事哈士奇,74,6,3,0,['日本动画']
15251779,2,【720P】翼·年代记 春雷记【英配】【字幕】,951,2017-10-10 11:23,无所事事哈士奇,70,8,3,2,"['日本动画', '奇幻', '720P', 'OVA•OAD']"
15231346,1,[补档720P]哆啦A梦新番001（2005.04.15）在书房里钓鱼&时光机不见了！！&唤醒记忆！那天的感动,865,2017-10-09 21:43,酸小管,13,3,2,7,['哆啦A梦']
15240858,1,【DVDrip480P】铁拳之运转化身 1998【中文字幕】,1007,2017-10-09 18:15,hungry小浩纸,48,3,4,1,"['铁拳', '游戏改']"
15239977,7,【720P】小偷与鞋匠The Thief and the Cobbler-Recobbled Cut,561,2017-10-09 18:02,一粒蟹子,71,9,7,2,"['Vincent Price', 'Richard Williams', 'Art Babbitt', 'Roy Naisbitt', 'Ken Harris']"
15227572,1,【DVDRip】海豚便利店 Grrl Power 2004【X2字幕组】,930,2017-10-09 17:58,起名费劲太郎,133,52,24,15,"['大地丙太郎', 'OVA·OAD', '斋藤彩夏', '名塚佳织', '东野佑美']"
15227480,1,【480P】《高桥留美子的奇想世界：火焰旅程》1988,1677,2017-10-09 17:54,小文嗨嗨,208,19,1,33,"['日本动画', 'TV动画', '经典']"
15241511,1,【BD1080P】铁拳 血之复仇 2011【R3】,12235,2017-10-09 16:00,hungry小浩纸,852,56,28,177,"['铁拳', '血之复仇', '游戏改']"
15228227,1,【720P/剧场版】魔法少女奈叶剧场版2nd【幻之字幕组】,5536,2017-10-09 10:42,奶活家教Shaw_K,598,50,29,26,"['日本动画', '剧场版', '魔法少女', '720P']"
15224702,1,【720P】传颂之物 OVA3【英配】【澄空】,1840,2017-10-09 10:35,无所事事哈士奇,30,5,8,2,"['日本动画', '传颂之物', 'OVA•OAD', '720P']"
15225178,1,【720P】传颂之物 OVA2【英配】【澄空】,473,2017-10-09 10:35,无所事事哈士奇,23,3,2,1,"['日本动画', '720P', 'OVA•OAD']"
15224631,1,【720P】传颂之物 OVA1【英配】【澄空】,1140,2017-10-09 10:35,无所事事哈士奇,53,6,5,3,"['日本动画', '传颂之物', 'OVA•OAD', '720P']"
15214726,1,【3D动画/怀旧/2005年】《最终幻想7：圣子降临》【2009年重制126分钟完全版】,24698,2017-10-09 10:21,在2016年才爱上李贞贤姐的男人,3571,251,129,461,"['科幻', 'FF7', '最终幻想7', '克劳德', '怀旧', '动作', '日本3D动漫CG动画电影', '尤菲', '热血', '蒂法']"
15187954,1,【BD1080P】我的朋友很少OVA【DHR】,--,2017-10-08 19:00,妹妹的胖次很香,292,85,54,111,"['OVA', '1080P']"
15210449,12,【720P】莎士比亚名剧动画【英配中字】,4540,2017-10-08 18:48,のMadsQu,1568,75,47,13,['莎士比亚名剧']
15181550,9,【720P】无限的未知Light【无字幕】,863,2017-10-08 18:48,凉宫智代,26,1,6,0,['无限的未知']
15213896,1,【720P/OVA】斩首循环-蓝色学者与戏言玩家 02【悠哈璃羽字幕社】,1173,2017-10-08 18:47,奶活家教Shaw_K,70,10,7,6,"['日本动画', '720P', 'OVA•OAD']"
15196428,9,【7月/合集】PICO太郎的摇篮曲 LALA BY（PIKO太郎的摇篮曲）TV放送版【生肉】,1143,2017-10-08 14:41,侦探毛利小五郎,23,5,13,2,"['生肉', '合集', 'PIKO太郎的摇篮曲', 'PICO太郎的摇篮曲 LALA BY']"
15203683,1,【480P/OVA】问答魔法学园OVA【X2字幕组】,1639,2017-10-08 14:37,奶活家教Shaw_K,73,9,4,5,"['日本动画', 'OVA•OAD']"
15203279,1,【480P/OVA】龙珠--巴达克之章 【游风字幕組】,5405,2017-10-08 14:37,奶活家教Shaw_K,62,7,10,34,"['日本动画', 'OVA•OAD']"
15198366,12,【480P/DVDRip】公主请小心/小心啊公主【恶魔岛】,1060,2017-10-08 14:24,爱妹无双,103,9,7,11,"['治愈向', '无厘头', '搞笑', '童年', '动漫', '经典']"
15197742,35,【35集全】VR战士【粤语无字】,1491,2017-10-08 14:23,u型潜艇,75,4,19,15,"['世嘉', 'tvb', 'vr战士']"
15196002,1,【720P】枪械少女 OAD【英配】【幻樱】,2314,2017-10-08 14:21,无所事事哈士奇,97,6,4,5,"['日本动画', 'OVA•OAD']"
15191824,7,【1080P】甘城光辉游乐园 SP 心跳迷你剧院【动音漫影】,5218,2017-10-08 14:17,萨潞法迩,359,48,105,2,"['野中蓝', '川澄绫子', '内山昂辉', '福山润', '搞笑', '京阿尼', '加隈亚衣', '贺东招二']"
15192176,1,【BD1080P】GO! GO! 575【华盟+幻之】,985,2017-10-08 14:16,千恋万花,178,25,31,5,"['泡面番', '百合', '1080P', 'BDRIP']"
15187200,13,【720P】可塑性记忆 【铃风】,3890,2017-10-08 14:14,萨潞法迩,388,34,36,19,"['上坂堇', '赤崎千夏', '萝莉', '日野聪', '恋爱', '雨宫天', '科幻']"
15184943,1,【720P】遥远时空中3～无尽的命运～【华盟字幕社】,1362,2017-10-08 14:13,奶活家教Shaw_K,110,9,7,0,"['日本动画', '乙女', '720P', 'TV']"
15183408,1,【台配国语】新哆啦A梦313——教育糖、魔力唢呐,3113,2017-10-08 14:10,喜欢动画片,44,11,16,59,"['怀旧', '哆啦A梦', '日本动画', 'TV动画', '国语']"
15180316,1,[补档720P]哆啦A梦新番003（2005.04.29）独裁者按钮,2288,2017-10-08 13:58,酸小管,36,7,6,14,['哆啦A梦']
15179335,3,魔卡少女樱 OVA 知世的活跃日记,6029,2017-10-08 13:57,孤寂しい,344,27,20,45,"['魔卡少女樱', '动漫']"
15179271,1,【720P/喜剧】Cat.Shit.One【英配中字】,104418,2017-10-08 13:29,Toku.,10197,878,507,1675,"['喜剧', '720P', '毛绒绒的兔子']"
14924697,1,【剧场版】新世纪福音战士 新剧场版3.0：Q,203084,2017-10-07 21:25,哔哩哔哩番剧,3392,1789,3192,6138,"['BILIBILI正版', 'TV动画']"
15175678,1,【480P/DVDRip】山田君与7人魔女 OAD 02【极影】,9526,2017-10-07 18:14,萨潞法迩,370,41,24,40,"['早见沙织', '逢坂良太', '小野大辅', '搞笑', '后宫', '内田真礼', '喜多村英梨', '牧野由依', '奇幻', '悠木碧']"
15166704,14,【720P】T老师【生肉】,532,2017-10-07 17:54,北谎未离,37,5,5,0,"['萌', '治愈', 'てぃ先生', 'TEI老师', 'T老师']"
15153055,1,【480P/DVDRip】山田君与7人魔女 OAD 01【极影】,2962,2017-10-07 17:53,萨潞法迩,159,29,20,31,"['喜多村英梨', '奇幻', '悠木碧', '早见沙织', '小野大辅', '内田真礼', '牧野由依', '逢坂良太', '搞笑']"
15161151,1,【BD1080P】加速世界OVA2-温泉【DHR】,7206,2017-10-07 15:30,妹妹的胖次很香,381,58,35,50,"['加速世界', 'OVA']"
15165416,1,【绝版/240P】浪客剑心特别篇【日语英字】,1997,2017-10-07 15:23,久远寺宅の有珠,59,9,9,3,"['神作', '经典', '日语英字']"
15125138,1,【BD1080P】加速世界OVA1-残响【DHR】,4108,2017-10-07 15:12,妹妹的胖次很香,205,25,8,24,"['加速世界', '1080P', 'BDRIP']"
15071383,1,【BD1080P】妄想学生会SP-01特番【生肉】,20589,2017-10-07 14:22,妹妹的胖次很香,595,121,67,68,"['黄段子学生会', '妄想学生会', '日本动画', '1080P', '永远的七月新番', '镇站神番', '黄段子', 'SYD', 'SYSYD']"
15148732,26,【台版国语】魔豆传奇 26集,1339,2017-10-07 13:03,WSY-PRC,67,6,19,4,"['动漫', 'TV动画', '魔豆传奇', '熊猫', '电视豆', '克鲁', '皮皮']"
15160208,1,【720P/剧场版】魔法少女奈叶剧场版1st【SGS曙光社字幕组】,9138,2017-10-07 12:35,奶活家教Shaw_K,1006,145,60,68,"['日本动画', '剧场版', '720P', 'BDRIP', '平凡的小三']"
15153636,1,【720P】甘城光辉游乐园 OVA/14 【异域】,54685,2017-10-07 12:20,萨潞法迩,3179,325,123,339,"['福山润', '奇幻', '搞笑', '日野聪', '川澄绫子', '野中蓝', '后宫', '内山昂辉', '京阿尼', '贺东招二']"
15153183,5,[720P] 忍者乱太郎 2016秋季特别篇 【花语字幕组】,1485,2017-10-07 12:18,花语字幕组,123,19,12,28,['忍者乱太郎']
15152010,1,【1080P】甘城光辉游乐园 OVA/第14话【动音漫影】,3072,2017-10-07 12:16,萨潞法迩,117,16,17,18,"['福山润', '搞笑', '日野聪', '野中蓝', '内山昂辉', '奇幻', '川澄绫子', '京阿尼', '加隈亚衣', '白石凉子']"
15071382,1,【BD1080P】妄想学生会SP-02特番【生肉】,14402,2017-10-07 12:11,妹妹的胖次很香,488,127,38,61,"['黄段子学生会', '妄想学生会', '镇站神番', 'SYSYD', '1080P', '黄段子', '永远的七月新番', 'SYD']"
15150084,13,【720P/TVRip】夜樱四重奏～花之歌～【千夏】,1313,2017-10-07 12:11,萨潞法迩,168,11,9,3,"['关智一', '户松遥', '梶裕贵', '泽城美雪', '少女', '茅野爱衣', '小野大辅', '田中理惠', '福圆美里']"
15147414,31,【1080P】赤色光弹 31话全【冷番补完字幕组】,2152,2017-10-07 11:48,有酒乐逍遥year,202,40,30,20,"['井上和彦', '速水奖', 'TVB', 'TV', '高田由美', 'I.G', '1987', '龙之子', 'Production', 'ProductionI.G']"
15145005,1,【DVDrip576P】侦探物语 1992【中文字幕】,1084,2017-10-07 11:47,杀车片,134,7,11,14,"['OVA', '漫画改', '弘兼宪史', '铃木行', '侦探物语']"
15142118,4,【DVDrip480P】电玩少女樱吹雪 OVA 2002【中文字幕】,598,2017-10-07 11:22,hungry小浩纸,59,5,9,8,"['吉崎观音', '电玩少女樱吹雪']"
15140530,1,【台配国语】新哆啦A梦312——热烈演出拍板、树懒套装,2465,2017-10-07 11:11,喜欢动画片,45,8,8,34,"['哆啦A梦', '经典动漫', '国语']"
15144084,1,【720P/OAD】妖精的尾巴OAD--开始的早晨始发之朝 【DYMY字幕组】,12119,2017-10-06 22:13,奶活家教Shaw_K,203,71,21,62,"['妖精的尾巴', '日本动画', '720P', 'OVA•OAD']"
14924792,1,【剧场版】新世纪福音战士 新剧场版2.0：破,190380,2017-10-06 21:34,哔哩哔哩番剧,3425,1846,2305,8064,"['BILIBILI正版', 'TV动画']"
15085031,12,【英配】城下町的蒲公英【字幕】,7201,2017-10-06 18:47,无所事事哈士奇,296,21,20,5,"['日本动画', '校园', '城下町的蒲公英', '1080P']"
15110571,30,【BD1080P】萩萩公主/彩梦芭蕾 2002【漫娱】,880,2017-10-06 18:46,hungry小浩纸,148,14,20,4,"['萩萩公主', '彩梦芭蕾']"
15125227,2,【10月】偶像大师Prologue SideM -Episode of Jupiter-【个人字幕v6】,2038,2017-10-06 18:41,皮奥君,92,23,1,41,"['TV动画', '神原大地', '偶像大师', '寺岛拓笃', '松冈祯丞', '偶像大师 SideM', '伊集院北斗', '御手洗翔太', '天濑冬马', 'SideM', 'Jupiter']"
15124025,1,【BD1080P】架向星空之桥OVA（第13话TV未放送）【澄空】,3654,2017-10-06 12:19,妹妹的胖次很香,288,33,57,117,"['1080P', 'BDRIP', 'OVA•OAD']"
15122870,3,【720P/生肉】BUS GAMER/玩命游戏【2008】,908,2017-10-06 12:17,奶活家教Shaw_K,61,11,5,1,"['生肉', '冒险', '怀旧', '日本动画']"
15102844,12,【720P/英文配音】我们仍未知道那天所看见的花的名字 / 未闻花名【/生肉】,1903,2017-10-06 12:15,某壮QwQ,136,14,22,8,"['日本动画', '未闻花名', '我们仍未知道那天所看见的花的名字', '经典', '720P', '那朵花']"
15120461,2,【480P/OVA】四圣兽-几千个昼与夜【苍穹字幕社】,1625,2017-10-06 11:55,奶活家教Shaw_K,60,12,3,6,"['日本动画', 'OVA•OAD']"
15119543,6,【480P/OVA】四圣兽～圣兽降临篇～【卡通空间】,1210,2017-10-06 11:55,奶活家教Shaw_K,53,9,3,2,"['日本动画', 'OVA•OAD']"
15120035,7,【1080P/BDRip】无彩限的怪异世界 SP合集 （生肉）,10724,2017-10-06 11:53,萨潞法迩,852,59,64,25,"['校园', '后宫', '早见沙织', '上坂堇', '搞笑', '内田真礼', '下野纮', '京阿尼']"
15117051,40,【480P】阿福世界（The Wacky World of Tex Avery）【生肉/40集】,890,2017-10-06 11:49,☆幻影者漫步☆,53,5,12,2,"['童年', '无厘头', '猫和老鼠', '小神龙俱乐部', '阿福世界']"
15109885,1,[补档720P]哆啦A梦新番004（2005.05.06）超音波发生器&万能通行证,2233,2017-10-06 11:38,酸小管,38,13,3,24,['哆啦A梦']
15108933,1,【英配生肉】读或死 OVA3【1440x1080】,1658,2017-10-06 11:33,无所事事哈士奇,30,5,2,0,"['日本动画', 'OVA•OAD']"
15108816,1,【英配生肉】读或死 OVA2【1440x1080】,908,2017-10-06 11:33,无所事事哈士奇,19,2,3,1,"['日本动画', 'OVA•OAD']"
15105730,1,【台配国语】新哆啦A梦311——奇迹二重唱胖虎与小夫、恐怖的幸福扑克牌,2800,2017-10-06 11:32,喜欢动画片,55,10,9,37,"['日本动画', '怀旧', '哆啦A梦', '国语', '经典动漫']"
15103883,12,【BD1080p】RWBY 第四季【傲娇零字幕组】,22060,2017-10-06 11:27,菜刀酱,2135,136,119,67,"['RWBY', 'BD', 'S4', '第四季']"
15100907,1,【1080P】K  Missing Kings 英文版【 自制字幕】,740,2017-10-06 10:53,某某猫迷,55,5,3,1,"['K', '英配', 'missing kings']"
15092786,52,【520p】丽佳公主【日语中字】,1116,2017-10-06 10:47,终生大会员,110,7,4,1,['丽佳公主']
15096771,40,【世界名人故事】【1977年】【40集全集】【国语中字】,6899,2017-10-06 10:31,绝望女神,1895,63,59,90,"['TV动画', '达芬奇', '中文', '经典', '南丁格尔', '爱迪生', '合集', '国语', '三藏法师', '名人的故事']"
15096687,5,【WEB720P】交响诗篇AO最终篇：再一次 -主佑我前行- / Eureka Seven AO Final Episode【HyalinusSubs】,3015,2017-10-06 10:24,祜生,286,41,31,17,"['交响诗篇AO', '日本动画', '交响诗篇', '720P']"
15096063,14,【480P/DVDRip】grizzly tales for gruesome kids/恶有恶报 第四季【简体中字字幕】,--,2017-10-06 10:22,genjirou,31,1,2,1,"['猎奇向', '英国', '作死向', '童年回忆', '经典', '恶有恶报', '子供向']"
15084338,155,【720P】企鹅家族 1-6季全 【全/完结/生肉/无水印】,3228,2017-10-06 10:17,坤坤_,568,40,34,39,"['怀旧', '搞笑', '童年', '经典']"
15111462,1,【720P】无彩限的怪灵世界 OVA/第14话 【千夏】,14241,2017-10-05 21:55,萨潞法迩,672,64,44,126,"['早见沙织', '上坂堇', '搞笑', '内田真礼', '后宫', '阪口大助', '无下限', '井上喜久子', '下野纮']"
15075051,1,【BD720P】架向星空之桥 13 OVA【澄空学园】,3388,2017-10-05 19:02,风清君,178,14,28,40,"['架向星空之桥', '中津川初', '720P', '中村绘里子']"
15093934,1,【DVDRip】刃牙 BAKI THE GRAPPLER 1994,2530,2017-10-05 19:00,起名费劲太郎,134,49,42,15,"['山口胜平', '盐泽兼人', 'OVA·OAD', 'Augustus·Xzavier', '板垣恵介', '浅田裕二']"
15094195,8,【BD1080P】加速世界SP8话全【DHR】,11279,2017-10-05 18:59,妹妹的胖次很香,633,52,36,22,"['加速世界', 'SP', '1080P']"
14924825,1,【剧场版】新世纪福音战士 新剧场版1.0：序,204531,2017-10-05 15:45,哔哩哔哩番剧,4817,2285,2553,6846,['BILIBILI正版']
14998427,1,【补档/720p】哆啦A梦新番237-大雄的宠物是纸狗[夜空],4193,2017-10-05 14:00,哆啦有个梦,107,23,17,72,"['哆啦A梦', '大雄的宠物是只纸小狗']"
15076894,1,[补档720P]哆啦A梦新番006（2005.05.20）秘密间谍大作战&Hello！宇宙人,1816,2017-10-05 12:18,酸小管,32,20,10,14,['哆啦A梦']
15067029,1,【台配国语】新哆啦A梦310——大雄靠小黄瓜得第一、延续喷雾,3010,2017-10-05 12:16,喜欢动画片,57,6,9,44,"['哆啦A梦', '经典动漫', '国语']"
15080970,1,【英配生肉】读或死 OVA 01【1440*1080】,1253,2017-10-05 12:14,无所事事哈士奇,30,5,8,2,"['日本动画', '生肉', 'OVA•OAD']"
15088008,5,【BD720P】游戏人生No Game No Life-SP6话全【DHR】,61225,2017-10-05 12:10,妹妹的胖次很香,5181,688,256,359,"['游戏人生', 'SP', '720P']"
15088491,12,【720P】海天使的灯火【DHR动研&风之圣殿&茉语星梦】,647,2017-10-05 12:09,妹妹的胖次很香,134,5,8,1,"['校园', '合集', '720P']"
15071047,13,【720P】你是主人我是仆,--,2017-10-05 11:50,迪哩嘀里,52,3,4,2,"['日常', '动画']"
15072107,52,【520p】丽佳公主【国语中字】,1851,2017-10-05 11:45,终生大会员,107,4,11,0,['丽佳公主国语版']
15040081,1,【DVD720P】尸者帝国【华盟字幕组】,12215,2017-10-05 11:06,潶胤,1121,86,61,308,"['科幻', '冒险', '剧情', '720P', '死者就是死者']"
14924668,1,【剧场版】新世纪福音战士 Death and Rebirth,122631,2017-10-04 18:44,哔哩哔哩番剧,2402,1051,1303,2351,"['剧场版', 'BILIBILI正版']"
15065261,1,[补档720P]哆啦A梦新番039（2006.02.24）恐龙出现了？,2987,2017-10-04 17:05,酸小管,58,10,10,52,['哆啦A梦']
15037140,1,要听爸爸的话 OVA 02【极影】,28912,2017-10-04 16:09,SakPale,1755,268,353,355,"['治愈向', '要听爸爸的话', 'ova']"
14924746,2,【剧场版】新世纪福音战士 The End of Evangelion,172451,2017-10-04 15:00,哔哩哔哩番剧,2728,1487,3750,5417,"['剧场版', 'BILIBILI正版']"
15060760,1,【BD720P】Princess Principal-SP01【茉语星梦&风之圣殿】,3902,2017-10-04 14:30,妹妹的胖次很香,190,19,27,16,"['SP', '720P']"
15052790,45,【450P】晴天小猪1-61p【生肉】,1606,2017-10-04 14:28,人民万岁,60,2,9,2,"['童年', '经典', '治愈向', '生肉', '油管搬运', '动画', '神作', '老物', '晴天小猪']"
15055200,12,【720P】海天使的灯火 【极影】,2249,2017-10-04 14:26,萨潞法迩,412,24,21,3,"['百合', '治愈向', '校园', 'TV动画', '日常', '泡面番']"
15053307,1,【台配国语】新哆啦A梦309——狼人面霜、人类用定时开关,1461,2017-10-04 14:26,喜欢动画片,33,6,6,10,"['怀旧', '哆啦A梦', '日本动画', '中文', 'TV动画', '国语', '经典动漫']"
15049538,1,[补档720P]哆啦A梦新番185（2009.09.11）哆啦A梦生日特别篇哆啦A梦漫长的一天,1891,2017-10-04 14:25,酸小管,61,4,10,22,['哆啦A梦']
15058238,1,【576P】干物妹!小埋 OAD/第13话 【千夏】,11944,2017-10-04 12:17,萨潞法迩,202,34,31,151,"['兄控', '百合', '校园', '搞笑', '田中爱美', '少女', '野岛健儿', '经典', '御宅族']"
15024407,1,【720P】干物妹!小埋 OAD/第14话【千夏】,29745,2017-10-04 12:17,萨潞法迩,431,75,55,222,"['德国骨科', '校园', '搞笑', '兄控', '少女', '野岛健儿', '经典', '田中爱美']"
15046779,25,【合集】龙与虎【台配国语】【1-25话全】【无字幕】,4800,2017-10-04 12:10,B站有丶毒,277,13,14,8,"['龙与虎', '合集', '无字幕', '台配国语']"
15021787,17,【540P/高清】怪医黑杰克21【枫雪字幕组】,2153,2017-10-04 11:58,幻影动漫社,138,8,4,4,"['搞笑', '经典', '励志', '怀旧', '动漫', '热血', '时泪', '致郁']"
