番号,集数,名字,播放量,投稿时间,作者,收藏数,硬币数,评论数,弹幕数,标签
15980748,1,【720/DVDRip】【GIRI字幕组/双语熟肉】阿松 1988  第75回 四十年后的嫌味！,10784,2017-11-03 20:56,GIRI字幕組,822,104,70,165,"['田中真弓', '松本梨香', '阿松1988', '阿松', '中日双语', '林原惠美', '肝付兼太', 'おそ松くん', '松井菜樱子', '井上瑶']"
15983632,1,【720P】穿透幻影的太阳 番外篇/14 【极影】,2907,2017-11-03 20:30,萨潞法迩,332,27,30,29,"['奇幻', '百合', '德井青空', '喜多村英梨', '门胁舞以', '致郁']"
15938663,3,【熟肉/DVDRip】铁子之旅 【绮罗字幕组】,290,2017-11-03 17:57,然后就没有然后了x,21,4,8,4,"['搞笑', '有生之年', 'TV动画', '字幕', '铁道', '旧番', '铁路']"
15951995,26,【480/粤语】新世纪福音战士 (合集）,1398,2017-11-03 17:56,哇塞あ哇塞,86,6,12,8,"['动漫', '经典', '新世纪福音战士', '中文', 'EVA', '机战', '热血']"
15973689,1,【DVDrip480P】霸王大系龙骑士 亚迪传说终结篇 OVA 1996【中文字幕】,527,2017-11-03 17:51,hungry小浩纸,41,1,3,0,['霸王大系龙骑士']
15965204,13,【480P/DVDRip】瓶洁妖精【生肉】,252,2017-11-03 17:51,爱妹无双,20,2,1,0,"['萌系', '生肉', '卡哇伊', '治愈', 'loli']"
15969828,1,【剧场版/粤语】东之伊甸剧场版：迷失天堂,378,2017-11-03 17:49,哇塞あ哇塞,22,3,1,0,"['东之伊甸', '动画']"
15964971,12,【720P/DVDRip】瓶诘妖精【自制字幕】,767,2017-11-03 17:48,爱妹无双,109,8,16,3,"['治愈', '萌系', '搞笑', '720P', '熟肉', 'loli', 'DVDrip']"
15930821,1,【1080P/BDRip】心灵想要大声呼喊  【傲娇零&幻之】,1580,2017-11-03 17:48,萨潞法迩,284,48,34,21,"['高桥李依', '细谷佳正', '冈田麿里', '内山昂辉', '日本电影', '雨宫天', '青春', '加隈亚衣', '长井龙雪', '水濑祁']"
15962839,26,【BD720P】苍天航路【全26集台配国语】,1935,2017-11-03 17:46,真的退出,155,7,3,1,"['TV动画', '720P', '苍天航路', '台配国语', 'BDRIP']"
15967742,1,【剧场版/粤语】东之伊甸剧场版：伊甸之王,259,2017-11-03 11:24,哇塞あ哇塞,13,0,1,0,"['动画', '经典']"
15966528,38,【合集】天空战记【台配国语】【1-38话全】【720P】,2213,2017-11-03 11:09,國語動漫,292,23,26,13,"['童年', '经典', '国语动漫', '台配国语', '天空战记']"
15966187,1,【1080P/BDrip】鲁邦三世2011年特别篇 血之刻印 永远的美人鱼【百度鲁邦三世吧字幕组】,6880,2017-11-03 11:07,魯邦叁世,1052,110,45,298,"['鲁邦三世', '浪川大辅', '泽城美雪', '野泽雅子', '1080P', '峰不二子', '完美生物']"
15964619,1,【OAD/720p】食戟之灵 貳之皿 OAD 2【极影】,112926,2017-11-03 10:54,Kayano_Risa,6311,574,349,934,"['松冈祯丞', '食戟之灵', '花江夏树', '动漫', '樱井孝宏', '720P']"
15927709,1,【1080P/剧场版】《 无限地带23》【日语中字】 (1985),1248,2017-11-03 10:45,小文嗨嗨,283,10,22,7,"['怀旧', '日本动画', 'TV动画', '经典']"
15962838,6,【生肉】ACCA13区监察课 特典OVA1-6话【BD1080P】,8110,2017-11-03 10:37,陌陌不再,2367,241,130,445,"['游佐浩二', '绿川光', '安元洋贵', '宫野真守', '津田健次郎', '诹访部顺一', '悠木碧', '下野纮', '大川透', 'ACCA13区监察课']"
15930402,11,【BD1080P】银仙SP11话全【诸神】,3085,2017-11-02 19:30,妹妹的胖次很香,244,51,27,42,"['SP', 'BDRIP', '1080P', '妹妹的胖次很香']"
15915219,13,【合集】DOG DAYS【独家正版】,30183,2017-11-02 11:53,哔哩哔哩番剧,592,201,983,1550,['BONES']
15939703,1,【1998年6月5日播出-日语中字】蜡笔小新-跟妈妈玩儿猜拳游戏-保险推销员来到幼稚园-爸爸的疾病预防,7352,2017-11-02 10:41,绿光战警,181,43,18,74,"['蜡笔小新', '蜡笔小新新番', '蜡笔小新日语', '蜡笔小新TV', '蜡笔小新妈妈', '蜡笔小新爸爸']"
15925805,3,【OVA/DVDRIP/480p】DNA2  OVA 3话【tyerggh字幕组】,755,2017-11-02 10:38,终生大会员,43,1,2,1,['DNA2OVA']
15918979,12,【DVDRIP高清/480p】DNA2 【tyerggh字幕组】,1139,2017-11-02 10:38,终生大会员,69,2,6,4,"['DNA2', '基因再造']"
15913251,15,【1080P/韩漫】丛林中生存下来01-15【生肉】,316,2017-11-01 19:30,幻影动漫社,13,1,2,0,"['励志', '生肉', '冒险', '经典', '1080P', '合集', '热血']"
15917212,1,【剧场版/国语】 哆啦A梦剧场版：大雄与云之国,2112,2017-11-01 18:48,哇塞あ哇塞,79,7,6,5,['哆啦A梦']
15663262,13,【合集】歌之王子殿下 真爱1000%,10525,2017-11-01 18:13,哔哩哔哩番剧,264,50,375,487,['BILIBILI正版']
15910257,12,【480P/DVDRip】公主请小心/小心啊公主【字幕】,788,2017-11-01 17:29,爱妹无双,92,2,9,3,"['无厘头', '搞笑', '经典', '治愈', '熟肉', 'dvdrip']"
15920771,13,【576P/TVrip】南方四贱客/南方公园第5季 (South Park V) 国语版,5966,2017-11-01 17:28,融化时光,409,22,37,39,"['TV动画', '喜剧', '南方公园', '搞笑', '南方四贱客', '欧美动画']"
15915137,17,【576P/TVrip】南方四贱客/南方公园第3季 (South Park III) 国语版,4476,2017-11-01 17:28,融化时光,362,21,28,32,"['搞笑', '南方公园', '屎蛋', '吐槽', '欧美动画', '阿尼', '凱子', '阿ㄆ一ㄚˇ']"
15859985,36,【540P】高米迪【字幕】,722,2017-11-01 17:24,幻影动漫社,60,5,8,4,"['冒险', '科幻', '奇幻', '经典', '励志', '动作', '合集', '番剧', '热血']"
15902074,49,【1080P/BDRIP】 机动武道传G高达【1~49】【字幕】,6693,2017-11-01 17:04,失算的谋士,1318,81,58,0,"['高达', '热血', 'BDRIP']"
15915781,1,【BD1080P】宝贝公主/Baby Princess【千夏】,--,2017-11-01 16:55,姬露瑞希,481,34,47,29,"['1080P', 'BDRIP']"
15915924,1,【576P/剧场版/粤语】哆啦A梦剧场版：大雄与银河超特快列车,1847,2017-11-01 16:45,哇塞あ哇塞,65,6,12,2,['哆啦A梦']
15916448,34,【生肉】可悲啊！名作君（合集）,126,2017-11-01 16:37,可爱の老司机,4,0,5,1,"['搞笑', '动漫', '生肉', '动画']"
15915128,3,【合集】舞-乙HiME 0～S.ifr～,3208,2017-11-01 15:28,哔哩哔哩番剧,277,27,81,39,['BILIBILI正版']
15915115,4,【合集】舞-乙HiME Zwei,2752,2017-11-01 15:25,哔哩哔哩番剧,273,21,64,24,['BILIBILI正版']
15916268,1,【剧场版/粤语】哆啦A梦剧场版：大雄的宇宙漂流记,1359,2017-11-01 12:49,哇塞あ哇塞,39,3,3,1,"['哆啦A梦', '剧场版']"
15914707,1,【剧场版/粤语】 哆啦A梦剧场版：大雄的创世日记,1453,2017-11-01 11:37,哇塞あ哇塞,68,4,11,3,['哆啦A梦']
15912766,1,【1080P/BDRip】心灵想要大声呼喊【千夏字幕组】,27830,2017-11-01 11:37,悠悠Akari,8175,628,225,953,"['雨宫天', '剧场版', '细谷佳正', '水濑祈', '校园', '治愈向', '内山昂辉', 'BDRIP']"
15910705,12,【480P/DVDRip】公主请小心/小心啊公主【生肉】,176,2017-11-01 11:24,爱妹无双,23,1,3,0,"['经典', '生肉', '无厘头', '搞笑', 'DVDrip']"
9614098,33,【470P】零式赛车 猎鹰传说/F-Zero 飞隼传说 2003【R3】,499,2017-11-01 11:23,hungry小浩纸,45,5,14,1,"['任天堂', 'F-ZERO', '零式赛车', '游戏改', '猎鹰传说']"
15905291,1,【480P/OVA】元气少女缘结神 OVA2 【汐空字幕组】,9670,2017-11-01 11:22,十五夜与你重逢,462,24,26,46,"['日本动画', '元气少女缘结神', 'OVA•OAD']"
15905001,1,【720P】我的脑内恋碍选项 第11话(OVA) 【DHR】,7790,2017-11-01 11:14,萨潞法迩,369,76,38,79,"['神作', '少女', '中田让治', '恋爱', '早见沙织', '搞笑', '后宫', '校园', '豊永利行']"
15835634,13,【1080P】《 Fate/stay night UBW》【第二季】【国语】（无限剑制）2015,48039,2017-11-01 11:14,小文嗨嗨,3288,154,328,305,"['FATE/ZERO', '日本动画', 'TV动画', '经典', 'Fate', '1080P']"
15899209,6,【720P/DVDRip】超时空要塞II 再爱一次 OVA【粤语中字】,13897,2017-11-01 11:13,B站有丶毒,964,20,37,18,"['OVA', '机战', '经典', '超时空要塞', '合集', '720P']"
15893323,224,【480P】游戏王初代【粤语】,6019,2017-11-01 10:28,武藤亚图姆,558,35,56,40,['游戏王']
15912560,1,[银光字幕组][蜡笔小新][1992.04.13][001]去跑腿&妈妈早上忙死了&画画喽,6200,2017-11-01 09:15,绿光战警,159,35,26,36,"['蜡笔小新', '蜡笔小新买东西', '蜡笔小新新番', '蜡笔小新国语', '蜡笔小新日语', '蜡笔小新TV', '蜡笔小新妈妈']"
15911412,1,【BD1080P】伊藤计划 虐杀器官 2017【华盟字幕社×澄空学园中日双语】,61132,2017-11-01 08:29,杀车片,13178,866,437,1192,"['伊藤计划', '虐杀器官', '虐殺器官']"
15893447,1,【OVA】 少女与战车 这次是真正的安齐奥战！【独家正版】,21962,2017-10-31 16:54,哔哩哔哩番剧,463,263,355,594,['BILIBILI正版']
15886600,7,【720P】汤姆和杰瑞 01—68【国语】,2690,2017-10-31 16:31,太政关白,282,9,15,7,"['汤姆', '杰瑞Q版猫和老鼠，小小汤姆与杰利']"
15875409,3,【BD720P】伊藤计划 虐杀器官 2017【华盟×澄空中日双语】,3200,2017-10-31 16:01,hungry小浩纸,305,33,18,14,"['伊藤计划', '虐杀器官']"
15871659,13,【720P】魔弹之王与战姬 SP 【华盟】,1832,2017-10-31 10:42,萨潞法迩,138,19,15,1,"['少女', '井口裕香', '上坂堇', '搞笑', '茅野爱衣', '户松遥', '伊濑茉莉也', '冒险']"
15865334,45,【480P/国语】啄木鸟伍迪和朋友们（45集全）,4948,2017-10-31 10:26,1断水流大师兄,870,38,50,30,"['动画', '搞笑', '动漫', '迪士尼', '啄木鸟伍迪和朋友们', '伍迪', '迪士尼动画', '啄木鸟']"
13759218,26,【合集】舞-乙HiME,4802,2017-10-30 18:32,哔哩哔哩番剧,142,30,101,129,['BILIBILI正版']
15863000,1,【超清】RE人造人009【粤语/繁中】,4088,2017-10-30 16:12,薄荷南瓜餅,265,4,14,10,"['日本动画', '高清', '粤语']"
15847066,1,【剧场】遗迹保卫者【粤语/中字】,4334,2017-10-30 13:30,薄荷南瓜餅,254,12,10,9,"['剧场版', '日本动画', '粤语']"
15845667,2,【LD480P】超机动传说Dinagiga OVA 1998【中文字幕】,1105,2017-10-30 13:19,hungry小浩纸,110,3,6,8,"['机战', '吉成钢', 'OVA•OAD']"
15759430,26,【合集】魔幻车神W【生肉】,1474,2017-10-30 13:17,幻影动漫社,76,4,15,3,"['神作', '校园', '冒险', '搞笑', '动漫', '经典', '科幻', '合集', '720P', '热血']"
14925009,26,【合集】EVA 新世纪福音战士,186209,2017-10-30 12:28,哔哩哔哩番剧,4037,2604,6163,13565,"['TV动画', 'BILIBILI正版']"
15841293,1,OOO和Anku的性福生活,745,2017-10-29 18:34,雷殴奥特曼,11,6,10,6,"['治愈向', 'TV动画', '假面骑士', '日本', '剧场版', '动漫', '经典', 'OOO', '合集', '热血']"
15838521,1,【720P/DVDRip】战国BASARA剧场版:最后的宴会【粤语中字】,2947,2017-10-29 18:16,B站有丶毒,118,4,6,3,"['战国BASARA', '剧场版', '粤语中字']"
15838219,1,【补档】蜡笔小新-萌哒哒的小葵-松板老师是恋爱老手-比吹箭决胜负（2000.12.15）,8633,2017-10-29 18:14,绿光战警,208,52,16,124,"['动画', '搞笑', '经典', '蜡笔小新', '蜡笔小新新番', '蜡笔小新国语', '蜡笔小新日语', '蜡笔小新TV', '蜡笔小新小葵', '蜡笔小新松板老师']"
15835400,1,【720P/DVDRip】头文字D新剧场版Legend1 -觉醒【粤语版】【中英字幕】,7333,2017-10-29 18:10,B站有丶毒,432,29,24,79,"['头文字D', '720P', '新剧场版', '粤语版']"
15821784,13,【1080P】《 Fate/stay night UBW》【第一季】【国语】（无限剑制）2014,52021,2017-10-29 13:45,小文嗨嗨,4325,227,499,548,"['远坂凛', 'TV动画', '卫宫士郎', 'FATE STAY NIGHT UBW', '日本动画', 'Fate', '1080P', '红A']"
15819137,24,【720P】巴哈姆特之怒 Virgin Soul 【dmhy】,26919,2017-10-29 10:28,萨潞法迩,1752,106,54,424,"['魔法', '奇幻', '吉野裕行', '坂本真绫', '泽城美雪', '战斗']"
15814500,36,【1080P/DVDISO】《猫眼三姐妹》 【第一季】【日语中字】 1983,27435,2017-10-29 10:23,小文嗨嗨,6580,210,198,345,"['日本动画', 'TV动画', '经典', '怀旧', '1080P']"
15810847,1,【剧场】好想大声说出心底话【粤语/中字】,2711,2017-10-29 10:20,薄荷南瓜餅,224,17,16,47,"['日本动画', '粤语']"
15805373,29,【480P】1995 小小宠物店 29集 【生肉】,335,2017-10-28 19:07,轩辕有三,18,1,0,2,"['怀旧', '童年', '小小宠物店', '欧美动画', 'The Littlest Pet']"
15797894,47,【BD1080P】元气爆发【日语中字/srl前线字幕】,617,2017-10-28 19:01,终生大会员,55,3,9,1,"['元气爆发', '蓝光人三部曲', '元气爆发BD1080']"
15785415,1,【480P】光明战士阿基拉【粤语/中字】,3253,2017-10-28 19:00,薄荷南瓜餅,279,13,10,7,"['日本动画', '动画', '粤语']"
15790677,7,【720P】吸血鬼骑士 第一季【英配/英文字幕】,20603,2017-10-28 16:22,露西西西娅,3168,101,406,95,"['吸血鬼骑士', '英文', '动漫', '英配']"
15763831,9,【1080P/喜剧/中文字幕】飞翔吧！训练兵团【动漫国字幕组】,10206,2017-10-28 16:20,酱汁菜,951,60,35,240,"['喜剧', '进击的巨人', '自由之翼', '中文字幕', '特典', 'TV动画', '搞笑', '1080P', '合集', '热血']"
15786739,14,【十月】没好希望 Wishfart S01E01-E14【生肉】,950,2017-10-28 16:14,万俟猫,145,19,14,8,['TV动画']
15780808,1,【TVB粤语】【熟肉】哆啦A梦大山版：生物工程盆栽,1099,2017-10-28 16:00,鬼迷君,7,0,5,2,"['哆啦A梦', '脑洞', '搞笑', 'TVB粤语', '动画', '动漫', '粤语版哆啦A梦', '哆啦A梦大山版']"
15772338,35,【480P】浪客剑心 京都篇【字幕修正版】,3901,2017-10-28 10:49,久远寺宅の有珠,222,18,11,17,"['怀旧', '童年', '经典', '神作', '热血']"
15469793,49,【韩语生肉】魔幻车神 第一季 【合集】,389,2017-10-28 10:47,火力少年王,18,2,1,1,"['经典', '搞笑', '科幻', '生肉', '奇幻', '校园', 'gay', '韩国动画', '720P']"
15774866,23,【1080p/合集】交响情人梦：第一季（台配国语）,2659,2017-10-28 10:45,唐十五少,211,7,6,7,"['动画', '交响情人梦', '合集']"
15777135,1,【BD720p】A CHANNEL + smile OVA 03【F宅】,2340,2017-10-28 10:39,F宅总动员,234,51,28,25,"['720P', 'Aチャンネル', 'A频道', 'A Channel']"
15747289,7,【BDrip/OVA】鸦-KARAS-龙之子40周年纪念 【粤语中字】,5486,2017-10-27 18:55,reo,242,12,6,7,"['TVB', '桥本敬史', 'cchris', '佐藤敬一', '横山彰利', '西尾铁也', '饭冢晴子', '金子秀一', '鸦karas', '铃木信吾', '安藤贤司', '玄马宣彦']"
15720380,2,【BD1080P】夏目友人帐•陆特别篇【2的召唤】,79632,2017-10-27 18:45,妹妹的胖次很香,5552,500,165,738,"['OVA', 'BDRIP', '1080P', '夏目友人帐第六季']"
15526124,22,【480P】辛普森一家 第二季【熟肉】,16052,2017-10-27 17:17,ZhangMaoMao0121,3401,83,64,60,"['辛普森一家', '辛普森一家第二季']"
15758014,15,【1080P/BDrip】幻想嘉年华（全篇+EX+SP）【百度鲁邦三世吧字幕组】,66810,2017-10-27 17:16,魯邦叁世,11618,658,245,881,"['幻想嘉年华', '型月', '月姬', '紫苑', '1080P', '爱尔奎特']"
15653728,37,【BD1080P】猫眼三姐妹 第二季【上视国语】,2225,2017-10-27 17:13,真的退出,225,14,13,18,"['TV动画', '高清', '猫眼三姐妹', '怀旧', '经典', '1080P', 'BDRIP', '上视国语']"
15758669,9,【CV:諏訪部順一】精英香蕉夫先生【日字 校正by小慌先生（见评论）】（9集全）,5021,2017-10-27 12:33,教日语的小慌先生,408,14,29,51,"['动画', '泡面番', '生肉', '动漫', '合集', '鈴村健一', '諏訪部順一', '精英香蕉']"
